model_id,display_name,ollama_tag,family,variant_kind,base_model_id,param_count_b,tier,notes
deepseek_r1_1_5b_base,DeepSeek R1 1.5B Base,deepseek-r1:1.5b,deepseek,base,,1.5,lightweight,installed_local
dilu_deepseek_r1_1_5b_v1,DiLu DeepSeek R1 1.5B v1,dilu-deepseek-r1-1_5b-v1,deepseek,fine_tuned,deepseek_r1_1_5b_base,1.5,lightweight,artifact_only_not_installed
dilu_deepseek_r1_1_5b_v1_gguf,DiLu DeepSeek R1 1.5B v1 GGUF,dilu-deepseek-r1-1_5b-v1-gguf,deepseek,fine_tuned,deepseek_r1_1_5b_base,1.5,lightweight,artifact_only_not_installed_gguf
dilu_deepseek_r1_1_5b_v2,DiLu DeepSeek R1 1.5B v2,dilu-deepseek-r1-1_5b-v2,deepseek,fine_tuned,deepseek_r1_1_5b_base,1.5,lightweight,artifact_only_not_installed
dilu_deepseek_r1_1_5b_v3,DiLu DeepSeek R1 1.5B v3,dilu-deepseek-r1-1_5b-v3,deepseek,fine_tuned,deepseek_r1_1_5b_base,1.5,lightweight,installed_local_pairing_from_name_and_metadata
llama3_2_1b_base,Llama 3.2 1B Base,llama3.2:1b,llama,base,,1.0,lightweight,installed_local
dilu_llama3_2_1b_instruct_v1,DiLu Llama 3.2 1B Instruct v1,dilu-llama3_2-1b-instruct-v1,llama,fine_tuned,llama3_2_1b_base,1.0,lightweight,installed_local_pairing_from_name_and_metadata
llama3_2_3b_base,Llama 3.2 3B Base,llama3.2:3b,llama,base,,3.0,lightweight,installed_local
dilu_llama3_2_3b_instruct_v1,DiLu Llama 3.2 3B Instruct v1,dilu-llama3_2-3b-instruct-v1,llama,fine_tuned,llama3_2_3b_base,3.0,lightweight,installed_local_pairing_from_name_and_metadata
phi4_mini_3_8b_base,Phi-4 Mini 3.8B,phi4-mini:3.8b,phi,base,,3.8,lightweight,installed_local
dilu_phi4_mini_3_8b_instruct_v1,DiLu Phi-4 Mini 3.8B Instruct v1,dilu-phi4-mini-3_8b-instruct-v1,phi,fine_tuned,phi4_mini_3_8b_base,3.8,lightweight,installed_local_pairing_from_name_and_metadata
phi4_mini_reasoning_3_8b_base,Phi-4 Mini Reasoning 3.8B,phi4-mini-reasoning:3.8b,phi,base,,3.8,lightweight,installed_local_reasoning_variant
dilu_phi4_mini_3_8b_reasoning_v1,DiLu Phi-4 Mini 3.8B Reasoning v1,dilu-phi4-mini-3_8b-reasoning-v1,phi,fine_tuned,phi4_mini_reasoning_3_8b_base,3.8,lightweight,installed_local_pairing_from_name_and_metadata
qwen3_0_6b_base,Qwen3 0.6B Base,qwen3:0.6b,qwen,base,,0.6,lightweight,installed_local
qwen3_5_0_8b_base,Qwen3.5 0.8B Base,qwen3.5:0.8b,qwen,base,,0.8,lightweight,installed_local
qwen3_5_2b_base,Qwen3.5 2B Base,qwen3.5:2b,qwen,base,,2.0,lightweight,installed_local
qwen3_1_7b_base,Qwen3 1.7B Base,qwen3:1.7b,qwen,base,,1.7,lightweight,installed_local
dilu_qwen3_1_7b_v1,DiLu Qwen3 1.7B v1,dilu-qwen3-1_7b-v1,qwen,fine_tuned,qwen3_1_7b_base,1.7,lightweight,installed_local_pairing_from_name_and_metadata
qwen3_4b_base,Qwen3 4B Base,qwen3:4b,qwen,base,,4.0,lightweight,installed_local
dilu_qwen3_4b_v1,DiLu Qwen3 4B v1,dilu-qwen3-4b-v1,qwen,fine_tuned,qwen3_4b_base,4.0,lightweight,installed_local_pairing_from_name_and_metadata
deepseek_r1_8b_base,DeepSeek R1 8B Base,deepseek-r1:8b,deepseek,base,,8.0,midclass,installed_local
llama3_1_8b_base,Llama 3.1 8B Base,llama3.1:8b,llama,base,,8.0,midclass,installed_local
qwen3_8b_base,Qwen3 8B Base,qwen3:8b,qwen,base,,8.0,midclass,installed_local
dilu_qwen3_8b_v1,DiLu Qwen3 8B v1,dilu-qwen3-8b-v1,qwen,fine_tuned,qwen3_8b_base,8.0,midclass,installed_local_pairing_from_name_and_metadata
qwen3_5_9b_base,Qwen3.5 9B Base,qwen3.5:9b,qwen,base,,9.0,midclass,installed_local
dilu_deepseek_r1_8b_v1,DiLu DeepSeek R1 8B v1,dilu-deepseek-r1-8b-v1,deepseek,fine_tuned,deepseek_r1_8b_base,8.0,midclass,installed_local_pairing_from_name_and_metadata
dilu_llama3_1_8b_v1,DiLu Llama 3.1 8B v1,dilu-llama3_1-8b-v1,llama,fine_tuned,llama3_1_8b_base,8.0,midclass,installed_local_pairing_from_name_and_metadata
deepseek_r1_14b_base,DeepSeek R1 14B Base,deepseek-r1:14b,deepseek,base,,14.0,highclass,installed_local
dilu_deepseek_r1_14b_v1_gguf,DiLu DeepSeek R1 14B v1 GGUF,dilu-deepseek-r1-14b-v1-gguf,deepseek,fine_tuned,deepseek_r1_14b_base,14.0,highclass,artifact_only_not_installed_gguf
qwen3_14b_base,Qwen3 14B Base,qwen3:14b,qwen,base,,14.0,highclass,installed_local
